abduction	绑架
beast	兽
beginning	开始
behavior	行为
belief	信仰
belonging	属于
bench	长凳
benefit	效益
beverage	饮料
bicycle	自行车
bid	出价
big_business	大生意
bill	法案
billionaire	亿万富翁
bin	箱子
biography	传
biologist	生物学家
biology	生物学
bird	鸟
birth	分娩
birthday	生日
bishop	主教
bite	咬
black	黑色
black_hole	黑洞
blade	刀
blanket	毯
blast	爆破
blessing	祝福
blockade	封锁
blocking	闭塞
blood	血液
bloom	盛开
blow	吹
board	板
boat	船
body	身体
body_of_water	水体
body_part	身体的一部分
bomb	炸弹
bomber	轰炸机
bombing	轰炸
bond	键
bond_issue	债券发行
bone	骨
bonus	奖金
book	书
booklet	小册子
boom	繁荣
border	边界
borough	镇
boss	老板
bottle	瓶子
bottom	底部
boundary	边界
bout	回合
bowler	投球手
bowling	保龄球
box	框
box_office	票房
boxer	拳击手
boy	男孩
boycott	抵制
boyfriend	男朋友
brain	脑
branch	科
brand	牌
bread	面包
break	打破
breakthrough	突破
breast	乳房
breed	品种
bridge	桥
briefing	简报
broadcast	广播
broadcaster	广播员
broadcasting	广播
brother	哥哥
brotherhood	手足情谊
browser	浏览器
buddy	伙伴
budget	预算
bug	窃听器
builder	建设者
building	建造
bullet	子弹
burden	负担
bureaucracy	官僚
bureaucrat	僚
burn	烧伤
burning	燃烧
bus	总线
business	商业
businessman	商人
businessperson	商人
businesswoman	女商人
buyer	买方
bystander	旁观者
cabinet	内阁
cabinet_minister	内阁大臣
cable	电缆
cable_television	有线电视
cake	蛋糕
calamity	灾害
calendar	日历
calendar_month	历月
call	呼叫
camp	营
campaign	运动
campaigner	活动家
campus	校园
canal	运河
cancer	癌症
candidate	候选人
cannon	大炮
capital	首都
capitalist	资本家
captain	队长
captive	俘虏
captivity	囚禁
capture	捕获
car	汽车
cardinal	枢机主教
care	关心
career	事业
caretaker	管理人
carnival	狂欢
carrier	支架
cartoon	动画片
case	案件
cash	现金
casino	赌场
cast	投
casting	铸件
castle	城堡
casualty	受害者
catastrophe	灾难
catch	抓住
category	类别
cattle	黄牛
cause	原因
cave	洞穴
celebration	庆典
celebrity	名人
celestial_body	星体
cell	细胞
cemetery	公墓
center	中央
central_bank	中央银行
century	世纪
ceremony	仪式
certainty	肯定
certificate	证书
chain	链
chain_mail	锁子甲
challenge	挑战
champion	冠军
championship	锦标赛
chance	机会
chancellor	校长
change	更改
channel	渠道
character	字符
character_actor	角色演员
characteristic	特性
charge	收费
charity	慈善机构
chart	图表
charwoman	女佣
chase	追
chat	聊
check	校验
chef	厨师
chemical	化学
chemical_element	化学元素
chemical_property	化学性质
chemical_reaction	化学反应
chemistry	化学
chess	棋
chief	首席
chief_executive_officer	首席执行官
child	儿童
china	中国
chip	芯片
choice	选择
church	教会
church_service	教堂服务
cigarette	香烟
cinema	电影
circuit	电路
circumstance	环境
citizen	公民
citizenry	公民
citizenship	国籍
city	市
city_council	市议会
city_state	市，州
civil_law	民法
civil_servant	公务员
civil_service	公务员
civil_war	内战
civilian	平民
civilization	文明
claim	要求
clash	冲突
class	类
classical_music	古典音乐
classification	分类
clay	粘土
cleaner	清洁器
cleaning	清洁的
cleanup	清理
clergy	牧师
clergyman	牧师
cleric	牧师
clerk	书记
client	客户
clientele	客户
climate	气候
clinic	诊所
clip	夹
clique	集团
clock	时钟
closing	关闭
closure	关闭
clothing	服装
club	俱乐部
clubhouse	俱乐部
coach	教练
coalition	联盟
coast	滨
cocaine	可卡因
code	码
cold	冷
collaboration	合作
collaborator	合作者
collapse	坍方
colleague	同事
collection	采集
collective	集体
college	学院
collision	碰撞
colony	殖民地
color	颜色
columnist	专栏作家
combatant	战斗
combination	组合
comedian	喜剧演员
comedy	喜剧
comic	滑稽
comic_book	漫画书
comic_strip	连环漫画
command	命令
commander	指挥官
commander_in_chief	总司令
comment	评论
commentator	评论员
commerce	商业
commission	佣金
commissioned_officer	军官
commissioner	专员
commitment	承诺
committee	委员会
commodity	商品
communication	通讯
communicator	传播者
community	社区
community_college	社区大学
community_service	社区服务
companion	伴侣
company	公司
company_man	公司人
compensation	赔偿金
competition	竞争
competitiveness	竞争力
complaint	抱怨
completion	完成
complex	复杂
compliance	合规
component	零件
composer	作曲家
composition	组成
compound	复合
compromise	妥协
computer	电脑
computer_game	电脑游戏
computer_system	计算机系统
concentration	浓度
concept	概念
conceptualization	概念化
concern	关心
concert	音乐会
conclusion	结论
condition	条件
conductor	导体
confederation	联盟
conference	会议
confession	自白书
confidence	置信度
confirmation	确认
conflict	冲突
confluence	合流
confrontation	对抗
confusion	混乱
conglomerate	集团
congregation	集合
congress	国会
congressman	众议员
conjunction	连词
connection	连接
conquest	征服
conscience	良心
consciousness	意识
consent	同意
consequence	后果
conservation	保护
consideration	考虑
consortium	财团
constitution	宪法
construction	施工
consultant	顾问
consultation	会诊
consumer	消费者
contact	联系
contact_sport	接触运动
container	容器
contamination	污染
content	内容
contest	比赛
contestant	选手
continent	大陆
contract	合同
contractor	承包商
contribution	贡献
contributor	贡献者
control	控制
control_panel	控制面板
controlled_substance	管制物质
controversy	争议
convention	惯例
conversation	会话
conversion	转变
convict	定罪
conviction	信念
convoy	护航
cook	厨师
cooking	烹饪
cooperation	合作
corporate_executive	公司行政人员
corporation	公司
correctional_institution	惩教所
correspondence	对应
correspondent	通信者
corruption	腐败
cost	成本
costume	服装
council	评议会
counselor	参赞
count	计数
country	国家
country_club	乡村俱乐部
countryside	农村
county	县
couple	一对
course	课程
court	法庭
court_order	法庭命令
cover	覆盖
coverage	覆盖
covering	覆盖
cow	牛
craft	手艺
craftsman	匠
crash	紧急
crater	弹坑
creation	创建
creator	创造者
creature	生物
credit	信用
credit_union	信用合作社
crew	船员
cricket	蟋蟀
cricketer	玩板球者
crime	犯罪
criminal	刑事
criminal_record	犯罪记录
crisis	危机
critic	评论家
criticism	批评
cross	交叉
crowd	人群
crown	王冠
cuisine	烹饪
cultivation	养殖
culture	文化
culture_medium	培养基
curator	馆长
curfew	宵禁
currency	货币
current	当前
custodian	保管人
custom	习惯
customer	顾客
cycle	周期
cyclist	骑车人
cyclone	气旋
damage	损伤
dame	贵妇人
dance	舞蹈
dancer	舞蹈家
dancing	跳舞
danger	危险
data	数据
database	数据库
date	日期
datum	基准
daughter	女儿
dawn	黎明
day	天
dead	死
deadline	最后期限
deadlock	僵局
deal	合同
dealer	零售商
dean	院长
death	死亡
debate	辩论
debris	废墟
debt	债务
debut	登场
decade	十
decision	决定
decision_making	做决定
declaration	宣言
decline	下降
decoration	装饰
decrease	减少
decree	法令
defeat	打败
defendant	被告
defender	辩护人
defense	防御
defense_mechanism	防御机制
definition	定义
degree	学位
deity	神
delay	延迟
delegate	代表
deliberation	审议
delivery	交货
demand	需求
democracy	民主
democrat	民主党人
demolition	拆除
demonstration	示范
demonstrator	示威者
denial	否认
density	密度
department	部
departure	离开
dependence	依赖
depression	萧条
deputy	副
descent	降落
description	描述
desert	沙漠
design	设计
designation	指定
designer	设计师
desk	台
desktop	桌面
destination	目的地
destiny	命运
destruction	毁坏
detail	详情
detainee	被拘留者
detective	侦探
detention	拘留
deterioration	恶化
determination	判定
devastation	毁坏
developer	开发人员
development	发展
device	设备
diagnosis	诊断
dialect	方言
dialogue	对话
diarist	记日记
diary	日记
dictator	独裁者
dictatorship	专政
diesel	柴油机
difference	区别
difficulty	困难
dilemma	困境
dimension	尺寸
dinner	晚餐
diplomacy	外交
diplomat	外交官
direction	方向
director	导向器
dirt	污垢
disagreement	异议
disappearance	消失
disaster	灾害
disaster_area	灾区
discharge	排出
discipline	学科
disclosure	泄露
discount	折扣
discovery	发现
discussion	讨论
disease	疾病
dish	碟
disk	磁盘
dismissal	解雇
disorder	紊乱
display	显示
dispute	争议
disruption	瓦解
dissenter	异己
dissolution	解散
distinction	分别
distress	苦难
distribution	分配
distributor	经销商
district	区
disturbance	骚乱
division	师
divorce	离婚
doctor	医生
doctrine	教义
document	文献
documentation	文件
dog	狗
dollar	美元
domain	域
dominance	霸主地位
donor	捐赠者
doubt	怀疑
downturn	低迷
drama	戏剧
draw	画
drawing	画画
dress	连衣裙
drink	喝
driver	司机
drop	下降
drug	药物
duck	鸭
due_process	正当程序
duration	持续时间
duty	义务
dwelling	住宅
eagle	鹰
earth	地球
earthquake	地震
economic_crisis	经济危机
economic_growth	经济增长
economic_rent	经济租金
economics	经济学
economist	经济学家
economy	经济
edge	边缘
edition	版
editor	编辑
education	教育
educator	教育家
effect	影响
efficiency	效率
effort	功夫
elbow	弯头
elder	长老
election	选举
electricity	电力
electronics	电子产品
element	元件
embassy	大使馆
emergence	紧急情况
emergency	急
emergency_medicine	急诊医学
emotion	感情
emperor	皇帝
emphasis	重点
empire	帝国
employee	雇员
employer	雇主
employment	雇用
encounter	遭遇
end	结束
endangered_species	濒危物种
ending	结尾
endorsement	背书
endowment	天赋
enemy	敌人
energy	能源
enforcement	强制
engine	发动机
engineer	工程师
engineering	工程
enrollee	登记者
enterprise	企业
entertainer	艺人
entertainment	娱乐
entertainment_center	娱乐中心
entrance	入口
entrepreneur	企业家
environment	环境
envoy	使者
epidemic	疫情
episode	插曲
equipment	设备
equity	公平
equivalent	当量
era	时代
error	错误
eruption	喷发
escort	护送
essay	文章
establishment	编制
estate	房地产
estimate	估计
ethnic_group	民族
evacuation	疏散
evaluation	评测
evaluator	评估
eve	前夕
evening	晚间
event	事件
evidence	证据
evolution	演化
examination	检查
examiner	检查员
example	例
exception	例外
exchange	交换
excitement	激动
execution	执行
executive	行政人员
executive_branch	行政部门
executive_officer	主管人员
exemption	豁免
exercise	行使
exhibit	展示
exhibition	展览
exile	流亡
exit	出口
expansion	扩张
expectation	期望
expense	费用
experience	经验
experiment	实验
expert	专家
explanation	说明
explorer	探险者
explosion	爆炸
explosive	爆炸物
export	出口
exporter	出口
expression	表达
expressway	高速公路
extension	延期
extremist	极端主义
extremity	末端
eye	眼睛
fabric	布
facility	设施
fact	事实
faction	派
factor	因子
factory	厂
failure	失败
fair	公平
fairness	公平
faith	信仰
fall	秋季
falls	下降
fame	名誉
family	家庭
family_business	家族企业
fan	风扇
farewell	告别
farm	农场
farmer	农民
father	父亲
fault	故障
fear	恐惧
feast	盛宴
feat	功绩
feature	特征
federal_government	联邦政府
federation	联邦
fee	费用
feedback	反馈
feeling	感觉
fellow	同伴
felon	重犯
felony	重罪
female	女
fence	篱笆
ferry	渡船
fertilizer	肥料
festival	节
fiction	小说
field	领域
fielder	外野手
fight	斗争
fighter	战斗机
figure	数字
file	文件
film	电影
film_industry	电影业
film_maker	电影制片人
film_star	电影明星
finalist	决赛
finance	金融
financier	金融家
financing	融资
finding	发现
finger	手指
finish	完
fire	火
fire_chief	消防队长
fireman	消防队员
firm	公司
first	第一
first_aid	急救
first_name	名字
fish	鱼
flag	旗
flame	火焰
fleet	舰队
flight	飞行
flight_engineer	飞行工程师
flood	洪水
floor	地板
flour	面粉
flower	花
fluid	流体
focus	焦点
foe	敌人
fog	多雾路段
follower	信徒
food	餐饮
fool	傻子
foot	脚丫子
footage	镜头
football	足球
football_player	足球运动员
force	力
foreign_country	外国
foreign_minister	外交大臣
foreign_policy	对外政策
foreigner	外国人
forest	森林
formation	编队
formula	式
fortress	要塞
fortune	幸运
forum	论坛
fossil	化石
fossil_fuel	化石燃料
foundation	基础
founder	创办人
franchise	专营权
fraud	骗局
free_agent	自由球员
free_radical	自由基
freedom	自由
freeze	冻结
frequency	频率
freshman	新生
friend	朋友
friendship	友谊
front_yard	前院
fruit	水果
frustration	挫折
fuel	汽油
fuel_cell	燃料电池
fugitive	逃亡
fun	开玩笑
function	功能
fund	基金
fundamentalist	原教旨主义
furniture	家具
future	未来
gain	获得
game	游戏
gang	结伙
garbage	垃圾
garden	花园
garment	服装
garrison	驻军
gas	加油站
gasoline	汽油
gate	门
gather	收集
gathering	搜集
gay	同性恋者
gear	齿轮
general	一般
general_election	全民选举
generation	代
genocide	种族灭绝
genre	类型
gentleman	绅士
geographical_area	地理区域
geography	地理
gesture	手势
giant	巨人
gift	礼品
girl	女孩
girlfriend	女朋友
global_warming	全球暖化
globe	地球
goal	目标
goalkeeper	守门员
god	神
goddess	女神
gold	金
golf	高尔夫球
golf_club	高尔夫俱乐部
golf_course	高尔夫球场
golfer	高尔夫球手
good	好
goods	产品
government	政府
governor	州长
graduate	毕业
graduate_school	研究所
grain	粮食
grandfather	祖父
grandparent	祖父母
grant	发放
grass	草
grave	墓
grid	格
grievance	不平
grocery	杂货
grocery_store	杂货店
gross	毛
ground	地面
group_action	集体行动
grouping	分组
growing	生长
growth	发展
guard	守护
guerrilla	游击队
guess	猜测
guest	客人
guidance	指导
guide	指南
guilt	有罪
guitar	吉他
guitarist	吉他手
gulf	海湾
gun	枪
gunfire	炮火
gunman	枪手
guru	领袖
guy	家伙
gymnastics	体操
habit	习惯
habitat	栖息地
hacker	黑客
hair	头发
half	半
hamlet	村庄
hand	手
handbook	手册
happening	事件
happiness	幸福
harbor	港口
hardware	硬件
harmony	和谐
harvest	收成
hate	讨厌
hazard	冒险
head	头
head_of_state	国家元首
heading	标题
headliner	顶篷
headman	头人
headquarters	司令部
healing	复原
health	健康
health_care	卫生保健
healthcare	卫生保健
hearing	听力
heart_attack	心脏病发作
heart_failure	心脏衰竭
heat	热
height	高度
heir	继承者
helicopter	直升机
help	救命
herb	草本植物
hero	英雄
higher_education	高等教育
highway	高速公路
hill	爬坡道
hip	臀部
historian	历史学家
history	历史
hockey	曲棍球
holder	持有人
holding_company	控股公司
hole	洞
holiday	假日
home	家
home_game	主场比赛
homer	本垒打
homestead	家园
hometown	家乡
homicide	杀人
homosexual	同性
honor	荣誉
hope	希望
horn	喇叭
hospital	医院
host	主办
hostage	人质
hostility	敌意
hotel	旅馆
hour	小时
house	屋
hub	毂
human_right	人权
humanitarian	人道主义
humanity	人性
hunter	猎人
hurdle	栏
hurricane	飓风
husband	丈夫
hypothesis	假设
ice_hockey	冰球
icon	图标
idea	理念
identification	鉴定
identity	身分
ideology	思想
idol	偶像
ill_health	身体欠佳
illness	疾病
illustration	插图
image	图片
immigrant	移民
impact	碰撞
implement	实行
implementation	履行
impression	印象
imprisonment	徒刑
improvement	起色
incentive	激励
incident	事件
income	收入
increase	增加
incumbent	现任
index	指数
indication	迹象
indicator	指示符
indictment	起诉书
individual	个人
industrialist	实业家
industry	行业
infant	婴儿
infantry	步兵
infection	感染
inflation	通货膨胀
influence	影响
informant	线人
information	信息
informer	举报人
infrastructure	基础设施
ingredient	成分
inhabitant	居民
injection	注射
injury	伤
inmate	犯人
inning	一局
inquiry	查询
insect	昆虫
insider	内幕
insight	眼光
inspection	检查
inspector	检查员
inspiration	灵感
institute	研究所
institution	机构
instruction	指令
instrument	仪器
instrumentality	媒介
insurance	保险
insurance_company	保险公司
insurgent	叛乱
integrity	廉正
intellectual	知识分子
intellectual_property	知识产权
intelligence	情报
intention	意向
interaction	相互作用
interest	利益
interest_rate	利率
interior_designer	室内设计师
internet	互联网
interpretation	解释
interpreter	翻译员
interval	间隔
interview	访问
interviewee	受访者
invasion	侵入
invention	发明
inventor	发明者
investigation	调查
investigator	研究者
investment	投资
investor	投资者
invitation	请帖
island	岛
isle	小岛
issue	问题
item	项目
jail	监狱
jam	果酱
janitor	门警
jazz	爵士乐
jersey	球衣
jet	喷射
jewelry	首饰
job	工作
joint	联合
journal	日志
journalism	新闻学
journalist	记者
journey	旅程
joy	喜悦
judge	法官
judge_advocate	法官辩护人
judgment	判断
judiciary	司法
jump	跳
junior	初级
junior_college	大专
jury	陪审团
justice	正义
juvenile	少年
keeper	管理人
key	键
keyboard	键盘
kick	踢
kid	孩子
kidnapping	绑架
killer	凶手
killing	谋杀
kin	亲属
kind	类
king	王
kingdom	王国
knock	敲
kohl	科尔
lab	实验室
labor	劳工
labor_force	劳动力
lady	淑女
lake	湖
land	土地
landmark	里程碑
landmass	大陆
landscape	景观
landslide	滑坡
language	语言
law	法
law_enforcement	执法
lawgiver	立法者
lawman	执法者
lawn	草坪
lawsuit	诉讼
lawyer	律师
layer	层
lead	铅
leader	领导
leadership	领导
leaf	叶
league	联盟
leak	泄漏
leap	飞跃
learner	学习者
learning	学习
leave	离开
lecture	演讲
lecturer	讲师
ledger	总帐
leg	腿
legend	传说
legislation	立法
legislator	立法者
legislature	立法机关
lender	贷款人
length	长度
letter	信
level	水平
leverage	杠杆作用
liberation	解放
library	图书馆
license	执照
license_plate	牌照
lieutenant_commander	中尉
life	生活
life_story	生活故事
life_style	生活方式
lift	电梯
light	光
limb	肢
limit	限制
line	线
link	链接
lion	狮子
liquid	液体
liquor	酒
list	名单
literature	文献
litigant	当事人
liver	肝
livestock	家畜
living_thing	生物
loan	贷款
lobby	前厅
lobbyist	说客
local	本地
local_government	地方政府
localization	本土化
location	位置
locomotive	机车
lord	主
loser	失败者
loss	失利
lot	批量
love	爱
love_affair	恋爱关系
lover	情人
lowering	降低
lunch	午餐
machine	机
machinery	机械
magazine	杂志
magistrate	法官
mail	邮件
major	重大的
majority	多数
majority_rule	多数规则
maker	制作者
makeup	补偿
male	男
mammal	哺乳动物
man	男人
management	管理
manager	经理
maneuver	演习
manner	方式
mansion	大厦
manual	手册
manufacturer	生产厂家
map	地图
marathon	马拉松
marijuana	大麻
mark	标记
market	市场
market_value	市场价值
marketing	营销
marketplace	市井
married	已婚
mass	块
master	主
match	比赛
mate	伴侣
material	材料
matter	物
mayor	市长
meal	膳食
meaning	含义
measure	测量
mechanism	机制
medal	勋章
media	媒体
mediation	调解
mediator	中间人
medication	药物治疗
medicine	医学
medium	介质
medium_of_exchange	交换媒介
meeting	会议
meltdown	崩溃
member	会员
membership	籍
memorial	纪念馆
memory	记忆
men	男人
menace	威胁
mentor	导师
merchandise	商品
merchant	商人
merging	合并
merit	值得
mess	食堂
message	信息
meter	仪表
method	方法
method_acting	方法行事
metro	地铁
metropolitan	宗主
migrant	农民
milestone	里程碑
militant	激进
military	军事
military_service	兵役
militia	民兵
millionaire	百万富翁
mind	心神
mineral	矿物
minister	部长
ministry	部
minor_planet	小行星
minute	分钟
misconduct	处理不当
misfortune	不幸
mishap	不测
missile	导弹
mission	任务
missionary	传教士
mix	混合
mixture	混合物
mobility	流动性
model	模型
moment	时刻
monarch	君主
monarchy	帝制
monetary_unit	货币单位
money	钱
monitor	监控
monitoring	监控
monk	僧
monkey	猴
month	月
monument	纪念碑
moral	道德
morning	早上
mortgage	抵押
mosque	清真寺
mother	母亲
motion	运动
motivation	动机
motor	发动机
motor_vehicle	摩托车
motorist	司机
motto	座右铭
mound	冢
mountain	山
mountain_climbing	爬山
mouse	老鼠
move	移动
movement	运动
movie	电影
multitude	苠
municipality	直辖市
murder	谋杀
murderer	凶手
muscle	肌肉
museum	博物馆
music	音乐
musical	音乐
musical_instrument	乐器
musician	音乐家
mutual_fund	共同基金
mystery	神秘
myth	神话
name	名称
napoleon	拿破仑
narrative	叙述
narrator	叙述者
nation	国家
national	国民
national_park	国家公园
nationality	国籍
native	本地人
natural	自然
natural_gas	天然气
natural_process	自然过程
natural_resource	自然资源
nature	性质
navy	海军
nazi	纳粹
need	需要
negative	负
negotiation	谈判
negotiator	谈判代表
neighbor	邻居
neighborhood	邻里
nerve_cell	神经细胞
net_income	净收入
network	网络
news	新闻
news_agency	通讯社
newscaster	新闻主播
newsletter	通讯
newspaper	报纸
night	晚
nod	点头
noise	噪声
nonfiction	纪实
noon	中午
note	注意
notice	注意
novel	小说
novelist	小说家
nuclear_weapon	核武器
number	数
numeral	数字
nurse	护士
object	宾语
objection	异议
objective	目的
obligation	义务
observation	意见
observer	观察者
obstacle	障碍
obstruction	梗阻
occasion	场合
occupation	占用
occurrence	发生
ocean	海洋
offense	罪行
offensive	进攻
offer	提供
offering	供
office	办公室
office_building	办公楼
officeholder	官吏
officer	官
official	官方
oil	油
old_man	老人
opener	揭幕战
opening	开盘
opera	歌剧
operating_system	操作系统
operation	手术
operator	操作者
opinion	意见
opponent	对手
opportunity	机会
opposition	反对
orchestra	乐队
ordeal	考验
order	订购
ordering	排序
organ	器官
organisation	组织
organism	生物
organization	组织
organizer	组织者
orientation	取向
original	原版的
outbreak	暴发
outcome	结果
outer_space	外太空
outfit	配备
outline	大纲
outlook	外表
output	产量
outrage	暴行
outreach	推广
oversight	疏忽
owner	所有者
ownership	所有权
pace	步伐
pack	包
package	包
pact	协议
pad	垫
page	页
paint	涂料
painter	画家
painting	绘画
pair	对
palace	宫
panel	面板
panic	恐慌
paper	纸
paperwork	证件
parade	游行
pardon	赦免
parent	亲
park	公园
parking_lot	停车场
parliament	议会
part	部分
participant	参加者
partner	伙伴
partnership	合伙
party	派对
pass	通过
passage	通道
passageway	通道
passenger	乘客
passenger_ship	客船
passing	通过
passport	护照
past	过去
patent	专利
path	路径
pathway	路
patient	患者
patron	顾客
pause	暂停
payer	付款人
payment	付款
peace	和平
peace_process	和平进程
peak	峰
peer	窥视
penalty	罚款
perceiver	知觉
percentage	百分比
perception	知觉
performance	性能
performer	演员
perimeter	周长
period	期
permission	允许
permit	允许
perpetrator	肇事者
person	人
personality	个性
petroleum	石油
phase	相
phenomenon	现象
philosopher	哲学家
philosophy	哲学
phone	电话
photograph	照片
phrase	短语
physicist	物理学家
physics	物理
piano	钢琴
piano_player	钢琴家
pick	挑
picking	选择
pickup	拾起
picture	图片
piece	片
pig	猪
pile	桩
pill	丸
pilot	飞行员
pioneer	先锋
pistol	手枪
pit	坑
pitch	沥青
pitcher	投手
place_name	地名
placement	放置
plain	川
plan	计划
plane	平面
planet	行星
planner	规划人员
planning	规划
plant	厂
plastic_art	造型艺术
plate	盘子
platform	平台
play	玩
player	播放机
playing_field	运动场
plaza	广场
plea	恳求
pleasure	乐趣
plot	情节
poem	诗
poet	诗人
point	点
poison	毒
police	警察
police_department	警察署
policeman	警察
policy	政策
political_party	政治党派
political_scientist	政治科学家
political_system	政治体系
politician	政治家
politics	政治
polity	政体
poll	轮询
pond	池塘
pool	池
pop	流行的
pope	教皇
populace	民众
popular_music	流行音乐
population	人口
pornography	色情
port	港口
position	位置
possession	所有权
possibility	可能性
post	岗位
post_office	邮政局
pot	锅
potential	潜在
poverty_line	贫困线
powder	粉末
power	功率
practice	实践
praise	赞美
prayer	祷告
precipitation	沉淀
prediction	预测
pregnancy	怀孕
premise	前提
preparation	制备
presence	存在
present	当下
presentation	介绍
presenter	主持人
preservation	保存
presidency	总统任期
president	主席
press	按
press_conference	新闻发布会
pressing	紧迫
prestige	声望
prevention	预防
preventive	预防
preview	预习
prey	猎物
price	价钱
price_index	价格指数
pricing	价钱
priest	牧师
prime_minister	总理
prince	王子
princess	公主
principal	主要
principle	原理
print	打印
prison	监狱
prisoner	囚犯
prisoner_of_war	战俘
privacy	隐私
private_detective	私家侦探
privilege	特权
prize	奖
pro	亲
probability	可能性
probe	探测
problem	问题
procedure	程序
proceeding	诉讼
process	处理
procession	游行
processor	处理器
produce	生产
producer	制片人
product	产品
production	生产
profession	职业
professional	专业的
professor	教授
profit	利润
program	程序
programmer	程序员
progress	进展
project	项目
projectile	抛射物
promoter	启动
promotion	提升
proof	证明
proofreader	校对
property	属性
prophet	预言家
proportion	比例
proposal	提案
proposition	主张
prosecutor	原告
prospect	展望
prostitution	卖淫
protection	保护
protest	抗议
protesters	抗议者
provider	提供商
province	省
proximity	接近
psychologist	心理学家
public	上市
public_opinion	舆论
public_servant	公务员
public_service	公共服务
public_transport	公共交通
publication	出版物
publisher	出版者
puck	冰球
punishment	惩罚
pupil	瞳孔
purchase	采购
purpose	目的
qualification	合格
quality	质量
quantity	数量
quarter	25美分硬币
quarterback	四分卫
queen	女王
queen_bee	女王蜂
question	题
questioning	疑问
race	种族
racer	赛车
racetrack	跑马场
raceway	滚道
racing	赛跑
radiation	辐射
radical	基
radio	无线电
radio_station	广播电台
raid	袭击
railroad_track	铁轨
railway	铁路
railway_station	火车站
rain	雨
raise	提高
rally	团结
ranch	牧场
range	范围
rank	秩
ranking	排行
rapper	说唱歌手
rat	鼠
rate	率
rating	评分
raw_material	原材料
reaction	反应
reader	读者
reading	读
real_number	实数
real_property	房地产
reason	原因
rebel	反叛
rebellion	暴动
recall	召回
reception	招待会
recess	凹槽
recession	不景气
recipe	食谱
recipient	接受者
recognition	承认
recommendation	建议
record	记录
recording	记录
recount	叙事
recovery	复苏
reduction	减少
referee	裁判
reference	参考
reference_book	参考书
reference_point	参照点
reform	改革
reformer	改革者
refugee	难民
refusal	拒绝
regiment	团
region	区域
registration	注册
regret	后悔
regulation	规
regulator	调节器
reign	统治
relation	关系
relationship	关系
relative	相对的
release	发布
relief	浮雕
reliever	投手
religion	宗教
religious	宗教
