a_cup	一杯
air_space	空域

air_sport	空中运动

air_strike	空袭

air_support	空中支援

air_suspension	空气悬架

air_tanker	空中加油机

air_taxi	空中出租车

air_terminal	空运站

air_ticket	飞机票

air_time	播音时间

air_travel	航空旅行

airborne	空降

airbus	空中客车公司

aircraft	飞机

aircraft_carrier	航空母舰

aircraft_engine	飞机发动机

airfield	机场

airing	晾干

airline	航空公司

airliner	客机

airplane	飞机

airport	飞机场

airspace	空域

alan	艾伦

alarm	报警

alarm_bell	警钟

alarm_clock	闹钟

alarm_system	警报系统

album	专辑

album_track	专辑曲目

alcohol	醇

alert	警报

alexander	亚历山大

algerian	阿尔及利亚人

algorithm	算法

alien	外侨

all-star	全明星

allegation	断言

allegiance	忠诚

alley	胡同

alliance	联盟

allocation	分配

ally	盟国

alma	母校

almost	几乎

alpha	α

alpha_channel	阿尔法通道

alpha_dog	阿尔法狗

alpha_male	阿尔法男性

alpha_version	Alpha版本

alpha_wave	阿尔法波

alpine	高山

altar	坛

alteration	改造

alternate	备用

alternative	替代

alternative_country	替代国家

alternative_energy	可替代能源

alternative_medicine	替代药物

alternative_rock	另类摇滚

altitude	高度

aluminum	铝

alumni	校友

alumni_association	校友会

amateur	业余

amazon	亚马逊

ambassador	大使

ambition	志向

ambulance	救护车

ambush	伏击

ambush_marketing	埋伏营销

amendment	修订

american	美国

american_eagle	美国之鹰

american_spelling	美国拼写

ammunition	弹药

amnesty	大赦

amount	量

amp	功放

amtrak	特拉克

ana	全日空

anaheim	阿纳海姆

analog	类似物

analysis	分析

analyst	分析人士

ancestry	祖先

anchor	锚

ancient	古

angel	天使

angel_dust	天使尘

angel_hair	天使的头发

angel_investor	天使投资人

anger	愤怒

anger_management	情绪管理

angle	角度

anglo	盎格鲁

animal	动物

animal_fat	动物脂肪

animal_kingdom	动物王国

animal_product	动物产品

animal_rights	动物权益

animal_shelter	动物收容所

animal_testing	动物测验

animal_welfare	动物福利

animation	动画

anime	动漫

ankle	踝

ann	安

anna	安娜

anniversary	周年

announcement	公告

announcer	播音员

annual	全年

anonymity	匿名

answer	回答

answering_machine	电话应答机

anthem	圣歌

anthrax	炭疽病

anti	抗

anticipation	预期

anxiety	焦虑

apartheid	种族隔离

apartment	公寓

apartment_building	公寓楼

apartment_complex	公寓大楼

apollo	阿波罗

apology	歉意

apparatus	仪器

apparel	服饰

appeal	上诉

appearance	出现

appetite	食欲

applause	掌声

apple	苹果

apple_butter	苹果酱

apple_juice	苹果汁

apple_pie	苹果派

apple_sauce	苹果酱

apple_seed	苹果种子

apple_tree	苹果树

applicant	申请人

application	应用

application_form	申请表格

application_program	应用程序

application_software	应用程序软件

applied_mathematics	应用数学

applied_science	应用科学

appointment	约定

appraisal	评价

appreciation	升值

approach	途径

approach_shot	接近射击

approval	赞同

approval_voting	批准投票

april_fool	愚人节

arbitration	仲裁

arc	弧

arch	拱

arch_enemy	大敌

arch_rival	主要竞争对手

archbishop	大主教

archdiocese	教区

archeologist	考古学家

archer	射手

archipelago	群岛

architect	建筑师

architecture	建筑

archive	档案

arctic	北极

arctic_circle	北极圈

arctic_fox	白狐

area	区域

area_code	区号

arena	竞技场

arena_football	竞技场足球

argentine	阿根廷

argument	争论

ariel	阿里尔

aristocrat	贵族

arm	臂

arm_wrestling	手臂摔跤

armor	盔甲

army	军队

arrangement	安排

array	排列

arrest	逮捕

arrest_warrant	逮捕证

arrested_development	发展停滞

arrival	到达

arrow	箭头

arroyo	阿罗约

arsenal	兵工厂

arson	纵火

art	艺术

art_collection	艺术品收藏

art_film	艺术电影

art_form	艺术形式

art_gallery	美术馆

art_glass	艺术玻璃

art_historian	艺术史学家

art_history	艺术史

art_house	艺术屋

art_journal	艺术杂志

art_movement	艺术运动

art_movie	艺术电影

art_music	艺术音乐

art_rock	艺术摇滚

art_school	艺术学校

art_student	艺术系学生

art_therapy	艺术疗法

article	文章

articulator	发音器官

artifact	神器

artificial_intelligence	人工智能

artillery	炮兵

artist	艺术家

artwork	艺术品

ascent	上升

ash	灰

ash_tree	灰树

asian	亚洲

asian_elephant	亚洲象

aside	在旁边

ask	问

asking	问

aspect	方面

aspect_ratio	长宽比

assassination	暗杀

assault	突击

assault_rifle	突击步枪

assault_weapon	突击武器

assembly	部件

assembly_language	汇编语言

assembly_line	流水线

assertion	断言

assessment	评定

asset	财富

assignment	分配

assist	助攻

assistance	帮助

assistance_dog	协助犬

assistant	助理

assistant_referee	助理裁判

associate	关联

association	协会

association_football	足协

assumption	假设

assurance	保证

asteroid	小行星

astronaut	宇航员

asylum	避难所

athlete	运动员

athletics	竞技

atlantic_salmon	大西洋三文鱼

atlas	舆图

atmosphere	大气层

atomic_energy	原子能

atomic_number	原子数

atrocity	暴行

attack	攻击

attack_dog	攻击犬

attacker	攻击者

attacking_midfielder	前腰

attempt	尝试

attendance	勤

attending	出席

attention	注意

attention_span	注意力

attire	服装

attitude	态度

attorney	律师

attorney_general	总检察长

attraction	引力

attribution	归因

attribution_theory	归因理论

au_pair	换工

auburn	奥本

auction	拍卖

audience	听众

audio	音频

audio_commentary	音频评论

audit	审计

audit_trail	审计追踪

auditorium	礼堂

aunt	姨

austerity	简朴

australian	澳大利亚

austrian	奥

author	作者

authoritarian	独裁的

authority	权威

authorization	授权

auto	汽车

auto_insurance	汽车保险

auto_racing	赛车

auto_shop	汽车店

autobiography	自传

automaker	汽车

automatic	自动

automatic_rifle	自动步枪

automatic_transmission	自动变速器

automobile	汽车

automobile_racing	赛车

autonomous_community	自治社区

autonomy	自治

autopsy	尸检

autumn	秋季

auxiliary	辅

availability	可用性

avalanche	雪崩

avalanche_effect	雪崩效应

avenue	大街

average	平均

average_joe	普通人

aviation	航空

aviator	飞行员

award	奖

award_ceremony	颁奖仪式

awareness	意识

axis	轴

ayatollah	阿亚图拉

baby	宝宝

baby_blue	淡蓝色

baby_book	婴儿书

baby_boom	婴儿潮

baby_bottle	婴儿奶瓶

baby_boy	男婴

baby_face	娃娃脸

baby_food	婴儿食品

baby_formula	婴儿配方奶粉

baby_girl	女婴

baby_monitor	维持现状

baby_oil	婴儿油

baby_seat	婴儿座椅

baby_step	宝贝一步

baby_talk	宝贝说话

bachelor	单身汉

bachelor_party	单身派对

back	背部

back_channel	后通道

back_door	后门

back_row	后排

back_street	后街

back_yard	后院

backdrop	背景

background	背景

background_music	背景音乐

background_radiation	背景辐射

backing	后盾

backing_band	背带

backlash	反弹

backup	备用

bacon	培根

bad	坏

bad_boy	坏小子

bad_girl	坏女孩

bad_news	坏消息

bad_seed	坏种子

badminton	羽毛球

bag	袋

baggage	行李

baht	铢

bail	保释

bail_bond	保释金

bailey	贝利

bailout	救助

baker	面包师傅

baking	饼

balance	平衡

balance_beam	平衡木

balance_board	平衡板

balance_sheet	资产负债表

balance_wheel	摆轮

balancing	平衡

balancing_act	平衡技术

ball	球

ball_bearing	滚珠轴承

ball_boy	球童

ball_carrier	球载体

ball_club	球杆

ball_game	球赛

ball_lightning	球状闪电

ball_player	球手

ballet	芭蕾舞

ballistic_missile	弹道式导弹

balloon	气球

ballot	选票

ballot_box	选票箱

ballot_paper	选票

ballots	选票

ballplayer	球坛

ban	禁止

banana	香蕉

banana_republic	香蕉共和国

band	带

bang	砰

bank	银行

bank_account	银行账户

bank_balance	银行存款余额

bank_card	银行卡

bank_holiday	银行假期

bank_rate	银行利率

bank_statement	银行对帐单

bank_transfer	银行转帐

banker	银行家

banking	银行业

bankruptcy	破产

banner	旗帜

banner_ad	横幅广告

banning	取缔

baptist	浸礼者

bar	酒吧

bar_association	律师协会

bar_chart	条形图

bar_code	条码

bar_exam	律师资格考试

bar_examination	律师考试

barbara	芭芭拉

barber	理发师

bare	裸

bargain	讨价还价

bargaining_power	议价能力

barn	谷仓

barney	巴尼

baron	男爵

barrage	弹幕

barrel	桶

barrel_roll	滚桶

barrier	屏障

barrier_island	屏障岛

barrier_method	屏障法

barry	巴里

barton	巴顿

base	基础

base_class	基类

base_hit	基本命中

base_isolation	基本隔离

base_metal	基本金属

base_pair	碱基对

base_station	基站

base_unit	基本单位

baseball	棒球

baseball_bat	棒球棒

baseball_cap	棒球帽

baseball_card	棒球卡

baseball_field	棒球场

baseball_player	棒球选手

baseman	三垒手

basement	地下室

basic	基本

basic_research	基础研究

basic_training	基础训练

basin	盆地

basis	基础

basis_point	基点

basket	篮

basket_case	篮子盒

basketball	篮球

basketball_court	篮球场

basketball_player	篮球运动员

basque	巴斯克

bass	低音

bass_drum	低音鼓

bass_guitar	低音吉他

bass_guitarist	低音吉他手

bassist	贝斯手

bat	蝙蝠

batch	批量

batch_file	批处理文件

bath	浴

bath_salt	浴盐

bathroom	浴室

bathroom_break	浴室休息

batman	蝙蝠侠

baton	指挥棒

batsman	击球手

battalion	营

batter	面糊

battery	电池

batting	棉絮

batting_average	平均击球

batting_order	击球顺序

battle	战斗

battle_buddy	战斗伙伴

battle_cry	战斗口号

battle_fatigue	战斗疲劳

battle_line	战线

battle_royal	荣誉之战

battlefield	战场

battling	作战

bay	湾

bay_leaf	月桂叶

bay_window	飘窗

beach	海滩

beach_ball	沙滩球

beach_chair	沙滩椅

beach_party	沙滩派对

beach_soccer	沙滩足球

beach_volleyball	沙滩排球

beam	光束

bean	豆角，扁豆

bear	熊

bear_cat	熊猫

bear_market	熊市

beard	胡子

bearing	轴承

bears	熊

beast	兽

beat	击败

beating	跳动

beauty	美女

beauty_contest	选美赛

beauty_product	美容产品

beauty_queen	选美皇后

beauty_school	美容学校

beauty_spot	风景名胜区

beck	招手

becker	贝克尔

becoming	变得

bed	床

bed_sheet	床单

bedroom	卧室

bedroom_community	卧室社区

bee	蜜蜂

beef	牛肉

beer	啤酒

beer_bottle	啤酒瓶

beer_can	啤酒罐

beer_garden	啤酒园

beer_hall	啤酒厅

beer_money	啤酒钱

beer_tent	啤酒帐篷

beetle	甲虫

begin	开始

beginning	开始

begun	开始

behalf	代表

behavior	行为

behaviour	行为

behind	背后

belief	信仰

belief_system	信仰体系

bell	钟

bell_curve	钟形曲线

bell_pepper	灯笼椒

bell_tower	钟楼

belle	美女

belonging	属于

beloved	心爱

belt	带

belt_drive	皮带传动

ben	本

bench	长凳

bench_press	卧推

bench_trial	庭审

bench_warrant	基准令

benchmark	基准

bend	弯曲

benedict	本尼迪克特

benefit	效益

benjamin	本杰明

bent	弯曲

berlin	柏林

bernard	伯纳德

berry	浆果

berth	泊位

best	最好

best_friend	最好的朋友

bet	打赌

beta_version	测试版本

beth	贝丝

better	更好

betty	贝蒂

beverage	饮料

beyond	外

bias	偏压

bible	圣经

bible_belt	圣经腰带

bicycle	自行车

bicycle_kick	自行车踢

bicycle_lane	自行车道

bicycle_path	自行车道

bid	出价

bid_price	竞价

bidding_price	投标价

big	大

big_band	大乐队

big_bang	大爆炸

big_beat	大节奏

big_boy	大男孩

big_brother	大哥

big_business	大生意

big_deal	没关系

big_house	大房子

big_mouth	大嘴巴

big_shot	大人物

big_sister	大姐姐

big_time	重要时刻

big_wheel	巨轮

bike	自行车

bike_lane	自行车道

bike_path	自行车道

bill	法案

billboard	广告牌

billion	十亿

billionaire	亿万富翁

billy	比利

bin	箱子

binding	捆绑

binding_energy	结合能

biography	传

biologist	生物学家

biology	生物学

biotechnology	生物技术

bird	鸟

bird_flu	禽流感

bird_strike	鸟罢工

birdie	小鸟

birth	分娩

birth_canal	产道

birth_certificate	出生证明

birth_control	计划生育

birth_father	亲生父亲

birth_mother	亲生母亲

birth_rate	出生率

birthday	生日

birthday_boy	寿星

birthday_cake	生日蛋糕

birthday_card	生日贺卡

birthday_gift	生日礼物

birthday_present	生日礼物

birthday_suit	生日服装

birthplace	出生地

bishop	主教

bit	位

bit_part	位部分

bit_player	位播放器

bit_rate	比特率

bite	咬

bitter	苦

bitter_end	悲惨结局

black	黑色

black_belt	黑带

black_bloc	黑色集团

black_box	黑盒子

black_cat	黑猫

black_eye	黑色眼睛

black_flag	黑旗

black_gold	黑金

black_hat	黑帽

black_hole	黑洞

black_jack	黑杰克

black_knight	黑色骑士

black_light	黑光

black_magic	黑魔法

black_man	黑人

black_market	黑市

black_metal	黑金属

black_sheep	害群之马

black_swan	黑天鹅

black_tea	红茶

black_tie	黑领带

black_water	黑色的水

black_widow	黑寡妇

blade	刀

blame	怪

blame_game	怪游戏

blank	空白

blanket	毯

blanket_term	总称

blast	爆破

blast_beat	爆炸拍

blasts	爆炸

blaze	火焰

bleak	苍凉

bleeding	流血的

blend	混合

blessing	祝福

blind	盲

blind_date	相亲

blitz	闪电战

bloc	集团

block	块

block_letter	封号

block_party	集体聚会

blockade	封锁

blockade_runner	封锁赛跑者

blockbuster	重磅炸弹

blockbuster_drug	重磅炸弹药

blocking	闭塞

blog	博客

blog_roll	博客卷

blood	血液

blood_bank	血库

blood_bath	血浴

blood_brother	亲兄弟

blood_cell	血细胞

blood_count	血球计数

blood_diamond	血钻

blood_donor	献血者

blood_feud	血海深仇

blood_group	血型

blood_money	血钱

blood_orange	血橙

blood_poisoning	血液中毒

blood_pressure	血压

blood_red	血红

blood_relative	血亲

blood_replacement	补血

blood_sample	血液样本

blood_sport	血液运动

blood_sugar	血糖

blood_supply	血液供应

blood_test	验血

blood_type	血型

blood_vessel	血管

blood_work	血汗工作

bloodshed	流血

bloody_mary	血腥玛丽

bloom	盛开

blow	吹

blow_torch	吹火炬

blue	蓝色

blue_blood	贵族

blue_box	蓝框

blue_bull	蓝牛

blue_cheese	蓝乳酪

blue_chip	蓝筹

blue_flag	蓝旗

blue_grass	蓝草

blue_hole	蓝洞

blue_jay	蓝松鸦

blue_jean	蓝色牛仔裤

blue_line	蓝线

blue_moon	蓝月亮

blue_note	蓝音符

blue_peter	蓝色彼得

blue_room	蓝色房间

blue_screen	蓝屏幕

blue_shark	蓝鲨

blue_state	蓝色状态

blue_water	蓝色的水

blue_whale	蓝鲸

blueprint	蓝图

blunt	钝

board	板

board_game	棋盘游戏

board_room	董事会会议室

boarding	登机

boarding_school	寄宿学校

boat	船

boat_lift	船用升降机

boat_race	划船比赛

boat_trip	游船旅行

bob	短发

bobby	鲍比

body	身体

body_bag	尸体袋

body_check	身体检查

body_count	死亡人数

body_fluid	体液

body_hair	体毛

body_image	身体形象

body_language	身体语言

body_of_water	水体

body_part	身体的一部分

body_shop	车身修理厂

body_spray	身体喷雾

body_temperature	体温

bogey	忌

bold	胆大

bolivia	玻利维亚

bologna	博洛尼亚

bolt	螺栓

bolt_action	螺栓行动

bomb	炸弹

bomb_shelter	防空洞

bomb_site	炸弹现场

bombardment	轰击

bomber	轰炸机

bombing	轰炸

bond	键

bond_energy	键能

bond_issue	债券发行

bond_market	债券市场

bonds	债券

bone	骨

bone_china	骨瓷

bone_density	骨密度

bone_meal	骨粉

bone_structure	骨骼结构

bonus	奖金

boo	嘘

book	书

book_award	图书奖

book_burning	烧书

book_club	图书俱乐部

book_deal	预定交易

book_fair	书展

book_shop	书店

book_signing	签书

book_store	书店

book_value	账面价值

booklet	小册子

boom	繁荣

boom_box	动臂箱

boom_town	繁荣小镇

boost	促进

boot	靴

boot_camp	新兵训练营

boot_sector	引导区

booth	亭

border	边界

bore	孔

boring	无聊

born	天生

borough	镇

borrow	借

borrowing	借款

boss	老板

bother	烦

bottle	瓶子

bottle_cap	瓶盖

bottle_opener	开瓶器

bottom	底部

bottom_line	底线

boulevard	林荫大道

bounce	弹跳

bound	界

boundary	边界

bourse	股票交易所

bout	回合

bow	弓

bow_shock	弓震动

bow_tie	领结

bowl	碗

bowl_cut	碗切

bowler	投球手

bowling	保龄球

bowling_ball	保龄球

bowling_green	保龄球绿

box	框

box_camera	相机盒

box_model	盒子模型

box_office	票房

box_plot	箱形图

box_score	盒子分数

box_seat	箱座

box_set	盒装

box_spring	发条盒

boxer	拳击手

boxing	拳击

boxing_day	节礼日

boxing_ring	拳击场

boy	男孩

boy_band	男孩乐队

boy_friend	男朋友

boy_genius	天才男孩

boy_scout	童子军

boy_wonder	男孩奇迹

boycott	抵制

boyfriend	男朋友

brad	布拉德

brain	脑

brain_cancer	脑癌

brain_candy	脑糖

brain_cell	脑细胞

brain_damage	脑损伤

brain_death	脑死亡

brain_drain	人才外流

brain_stem	脑干

brain_surgery	脑部手术

brain_trust	脑信任

brain_wave	脑电波

brake	制动

branch	科

branch_line	支线

branch_office	分支机构

brand	牌

brand_image	品牌形象

brand_name	品牌

brands	品牌

brass	黄铜

brass_band	铜管乐队

brass_ring	黄铜环

brass_section	黄铜部分

brave	勇敢

brazil	巴西

breach	突破口

bread	面包

bread_roll	面包卷

break	打破

break_point	断点

break_room	休息室

breakaway	摆脱

breakdown	分解

breakfast	早餐

breaking	破坏

breakthrough	突破

breakup	分手

breast	乳房

breast_cancer	乳腺癌

breast_milk	母乳

breast_pump	吸奶器

breast_reduction	乳房缩小

breath	呼吸

breath_test	呼气测试

breathing	呼吸

breathing_room	呼吸室

breathing_space	喘息空间

breed	品种

breeding	配种

breeding_ground	繁殖地

brent	黑雁

brewer	啤酒

brewery	酿酒厂

brewing	酿造

bribery	受贿

brick	砖

brick_house	砖房

brick_wall	砖墙

bride	新娘

bride_price	聘礼

bridge	桥

bridge_loan	过桥贷款

brief	简要

briefing	简报

briefing_note	简报

brigade	旅

brigadier	准将

brigadier_general	准将

bright	亮

brilliant	辉煌

brink	边缘

bristol	布里斯托尔

broad	宽

broad_gauge	宽范围

broadband	宽带

broadcast	广播

broadcast_station	广播电台

broadcaster	广播员

broadcasting	广播

broadway	百老汇

broken_heart	心碎

broker	经纪人

brokerage	佣金

bronze	青铜

bronze_medal	铜牌

bronze_medalist	铜牌得主

brook	溪

brooks	布鲁克斯

brother	哥哥

brotherhood	手足情谊

brown	棕色

brown_bear	棕熊

brown_sauce	棕色酱

browser	浏览器

bruce	布鲁斯

brush	刷

bubble	气泡

bubble_sort	气泡排序

buck	降压

bud	芽

buddha	佛

buddy	伙伴

budget	预算

buffalo	水牛

buffalo_jump	水牛跳

buffalo_soldier	水牛士兵

buffalo_wing	水牛城翼

buffer	缓冲

bug	窃听器

build	建立

builder	建设者

building	建造

building_block	积木

building_code	建筑规范

building_site	建筑工地

building_society	建设社会

buildup	建立

built	内置

bulk	块

bulk_cargo	大批货物

bulk_carrier	散货船

bull	公牛

bull_market	牛市

bull_ring	公牛圈

bullet	子弹

bullet_hell	子弹地狱

bullet_hole	子弹孔

bullet_point	要点

bullet_time	子弹时间

bullet_train	子弹头列车

bulletin	通报

bulletin_board	布告栏

bullpen	牛棚

bunch	束

bunker	掩体

burden	负担

bureau	局

bureaucracy	官僚

bureaucrat	僚

burger	汉堡包

burial	葬礼

burial_chamber	墓室

burial_ground	墓地

burke	伯克

burn	烧伤

burn_notice	烧伤通知

burning	燃烧

burst	爆

burton	伯顿

bury	埋葬

bus	总线

bus_driver	公车司机

bus_fare	公交车票价

bus_lane	公交专用道

bus_route	巴士路线

bus_shelter	候车亭

bus_station	公车站

bus_stop	巴士站

bush	衬套

bush_pilot	布什飞行员

bushel	蒲式耳

business	商业

business_administration	商业管理

business_analyst	业务分析师

business_card	名片

business_class	商务课程

business_cycle	商业周期

business_day	工作日

business_economics	商业经济学

business_end	业务端

business_ethics	商业伦理

business_intelligence	商业智能

business_logic	商业逻辑

business_lunch	商务午餐

business_model	商业模式

business_park	商业园

business_plan	商业计划

business_record	业务记录

business_trip	商务旅行

business_venture	商业冒险

businessman	商人

businessperson	商人

businesswoman	女商人

bust	胸围

butler	男管家

butt	屁股

butter	牛油

butter_chicken	黄油鸡

butter_cream	黄油奶油

butterfly	蝴蝶

butterfly_bush	蝴蝶布什

butterfly_effect	蝴蝶效应

button	按键

buy	购买

buyer	买方

buying_power	购买力

buyout	买断

buzz	蜂鸣器

buzz_word	流行语

bye	再见

bypass	旁路

bystander	旁观者

cab	出租车

cabin	舱

cabin_boy	机舱男孩

cabin_crew	机组人员

cabinet	内阁

cabinet_maker	橱柜制造商

cabinet_minister	内阁大臣

cable	电缆

cable_box	电缆盒

cable_car	缆车

cable_guy	电缆家伙

cable_internet	有线互联网

cable_length	电缆长度

cable_television	有线电视

cable_tie	扎线带

cafe	咖啡店

cage	笼

cage_match	笼子比赛

cake	蛋糕

cake_mix	混合蛋糕

cake_shop	蛋糕店

cal	CAL

calamity	灾害

calendar	日历

calendar_month	历月

calendar_year	公历年

caliber	口径

call	呼叫

call_center	呼叫中心

call_centre	呼叫中心

call_girl	应召女郎

call_sign	呼号

calling	调用

calm	平静

came	来了

camera	相机

camera_flash	相机闪光灯

camera_movement	相机运动

camera_phone	拍照手机

camp	营

camp_bed	露营床

campaign	运动

campaigner	活动家

camping	露营

campus	校园

canal	运河

cancellation	消除

cancer	癌症

candidacy	候选人

candidate	候选人

candy	糖果

candy_apple	糖苹果

candy_bar	糖果条

candy_man	糖果人

candy_store	糖果店

cane	甘蔗

cannon	大炮

cannon_ball	炮弹

canon	教规

canon_law	教会法

canterbury	坎特伯雷

canton	广州

canvas	帆布

canyon	峡谷

cap	帽

capability	能力

capacity	容量

cape	岬

capita	人头

capital	首都

capital_account	资本账户

capital_asset	资本资产

capital_city	首都

capital_crime	死罪

capital_equipment	基本设备

capital_expenditure	资本支出

capital_gain	资本收益

capital_letter	大写字母

capital_loss	资本损失

capital_market	资本市场

capital_offense	死罪

capital_punishment	死刑

capital_ship	资本船

capitalism	资本主义

capitalist	资本家

capitol	国会大厦

captain	队长

captain_general	上尉

captive	俘虏

captives	俘虏

captivity	囚禁

capture	捕获

car	汽车

car_alarm	汽车防盗器

car_battery	汽车电池

car_bomb	汽车炸弹

car_boot	汽车后备箱

car_chase	追车

car_door	车门

car_hire	汽车租赁

car_park	停车场

car_radio	汽车收音机

car_rental	汽车出租

car_seat	汽车座椅

car_wash	洗车

carbon	碳

carbon_copy	复本

carbon_credit	碳信用

carbon_cycle	碳循环

carbon_dioxide	二氧化碳

carbon_fiber	碳纤维

